text,label
14 billion order book shows investors still crave african bonds,1
outbreak of optimism in south africa may spur ipos says jse,1
kenyas uchumi supermarkets repos 88 million loss in first half 2018 fiscal year stock down 30 ytd,-1
mtn ghana appoints sponsor for upcoming ipo will sell 35 stake for roughly 450 million on ghana stock exchange,1
zambia cuts benchmark lending rate by 50 basis points to 975 in response to lower inflation and slower economic gâ€¦,-1
are goil shares running out of gas,-1
nigerian stock exchange sees another voluntary delisting pcmn the second already this year,1
malawis economy to grow as much as 5 in 2018 says imf,1
bhai airtels holding company for africa explores ipo,1
uganda cuts benchmark lending rate to 90 its the countrys 10th interest rate cut in the past two years,1
7up nigeria seeks approval to delist from nigerian stock exchange,-1
4 reasons investors should stay far far away from mumias sugar,-1
mtn nigeria to list shares on nigerian stock exchange this year,1
sefalana shares look cheap,1
express kenya to delist from nse after years of lossmaking,-1
how big are african pension funds  by ,1
africas best stock markets ytd malawi 495 ghana 391 kenya 286,1
kenyas national oil company to list on nairobi and london stock exchanges by early  2019,1
shares of cahora bassa dam to be sold on mozambiques stock exchange,1
ghana cuts key interest rate by 100 basis points citing reduced inflation concerns and steady economic growth,1
mugabes gone is it time to buy zimbabwean stocks,1
good question technically its the best performer this year but the dollar shoage makes it difficultâ€¦,-1
africas best stock markets ytd malawi 467 ghana 346 mauritius 293,1
mauritius cuts key interest rate to 35 to stimulate growth,1
africas best stock markets ytd zimbabwe 626 malawi 487 ghana 361,1
tanzanias maxcom africa nears ipo,1
africas best stock markets ytd zimbabwe 406 ghana 295 mauritius 292,1
nigerian stocks havent had a run this good since 2001,1
vodacom tanzania extends ipo deadline until july 28,1
malawi cuts key interest rate to 18 in response to slowing inflation,-1
africas best stock markets ytd zimbabwe 356 zambia 236 mauritius 221,1
africas best stock markets ytd zambia 209 mauritius 177 malawi 148,1
south africa inflation at 17month low indicates end to interest rate hikes,1
ghana cuts interest rate by 100 basis points to 225 on expectations of lower inflation,1
africa investors eye niche markets as biggest economies slip,-1
tanzanian electronic payments provider maxmalipo prepares for ipo,1
kenyas foreign exchange reserves hit record high,1
africas best stock markets ytd zambia 162 ghana 148 mauritius 143,1
viettel tanzania aka halotel to launch ipo on dar es salaam stock exchange later this month,1
cloud atlas africafocused etf lists on jse,1
  the potential of diaspora bonds in africa,-1
  ceo maurice madiba blowing the kuduhorn at the jse yesterday just before the listing of the amibig50 exsa listings €¦,1
world bank sees subsaharan africa gdp growth up in 2017 after poor 2016 performance,1
mo ibrahim africa is at a tipping point,-1
  s 2016 gdp growth rate registered at 58 vs 57 in 2015 highest growth rate since 2011,1
vodacom tanzania extends ipo deadline to woo more local investors,1
world bank cuts kenyas 2017 growth forecast to 55 due to drought,1
uganda central bank cuts main lending rate to 11 seventh rate cut in past year,-1
  nigerian stock exchange may suspend 11 listed companies on financial statements filing deadline,-1
makiba bond stas trading at the nairobi bourse,1
tanzanian brokers create new funds to give foreigners ipo access,1
  south african stocks poised for longterm gains,1
kenyas makiba bond hits 15 million target with 5000 buyers,1
africas best stock markets ytd ghana 94 zambia 83 mauritius 83,1
ghana cuts benchmark interest rate as inflation slows,1
kenya is launching the worlds first mobileonly government bond,1
   capital markets authority to relax listing fees to attract more companie to nairobi securities exchange,1
mtn ghana to launch ipo before end of 2017,1
  kenolkobil fy 2016 results earnings up a strong 19 dividend of 030,1
tanzanian electronic payments company maxmalipo eyes ipo,1
nigerian stocks fall to 10month low,-1
south africas sea harvest to raise 100 million in johannesburg ipo,1
a new ipo in rwanda,1
africas best stock markets ytd namibia 107 mauritius 73 zambia 54,1
vodacom tanzania to launch 213 million ipo march 6,1
nigeria tests waters for possible broad naira devaluation,-1
zambian economy to grow 40 in 2017 and 42 next year says world bank,1
