text,label
rt @emmanuel_mabz2: #maishaconcertfriday weekend moods activated @alex_mwakideu @iamnickodhiambo @radiomaisha,0
rt @boscoboss3: @johnobura7 @radiomaisha @iamnickodhiambo @alex_mwakideu #maishaconcertfriday ka.boom back on air,0
rt @enlihobino: @hillary16295059 @henry_mbute @gushshivitzi @silaw_sang @twilfred13 @hillary_yabatsa @kadottee @barrackferguson @jnrlepariy…,0
rt @njuruarapsamuel: @alex_mwakideu @joyceomondi @radiomaisha #maishaconcertfriday,0
rt @kadottee: @enlihobino @twilfred13 @silaw_sang @johnobura7 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @…,0
#np inspire - @namelesskenya #maishaconcertfriday,0
rt @hillary16295059: @henry_mbute @gushshivitzi @enlihobino @silaw_sang @twilfred13 @hillary_yabatsa @kadottee @barrackferguson @jnrlepariy…,0
rt @emmanuel_mabz2: #maishaconcertfriday the last hour sasa ni mazishi kabisa @radiomaisha @iamnickodhiambo @alex_mwakideu,0
rt @vetmbirirah001: niko ndani ya #maishaconcertfriday kama kawa kama dawa team earphones,0
rt @enlihobino: @kadottee @twilfred13 @silaw_sang @johnobura7 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @…,0
#np @bahatikenya - ten over ten.. #maishaconcertfriday,0
"rt @juniorkiddoke: #maishaconcertfriday
@radiomaisha 
@alex_mwakideu 
leo ni davidoo kama mbaya mbayaa alaa.☺☺☺☺☺☺☺",0
rt @eriqkiddies: tuned from naivasha..fiiire muhudumu ya aslay ikam through alekii na nick...#maishaconcertfriday,0
rt @kadottee: @enlihobino @twilfred13 @silaw_sang @johnobura7 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @…,0
"final hour loading with the big bad team.. @alex_mwakideu, @iamnickodhiambo and @dj2one2 #maishaconcertfriday",0
"rt @itsarapkirui: maisha concert, njaa na arsenal walai zitanimaliza @alex_mwakideu #maishaconcertfriday",0
karibuni sana.. #maishaconcertfriday ,0
rt @kadottee: @enlihobino @silaw_sang @twilfred13 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @daughter_wil…,0
rt @kadottee: @enlihobino @silaw_sang @twilfred13 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @daughter_wil…,0
rt @enlihobino: @twilfred13 @silaw_sang @johnobura7 @kadottee @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @…,0
rt @kadottee: @enlihobino @silaw_sang @twilfred13 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @daughter_wil…,0
#np love potion - @mafikizolosa #maishaconcertfriday,0
rt @omarealexix: @radiomaisha @alex_mwakideu @iamnickodhiambo #maishaconcertfriday  mku main thika show on 🔥🔥🔥🔥🔥🔥🔥🔥 ,0
rt @twilfred13: @silaw_sang @johnobura7 @enlihobino @kadottee @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @…,0
rt @hillary16295059: @alex_mwakideu @iddaziz if you break ma heart i will date your father #maishaconcertfriday,0
#np tom boy - @kelechiafrikana #maishaconcertfriday,0
#np date ua fada - ebony #maishaconcertfriday,0
"rt @addinjoro3: @ras_rastoo @isnyaata @twilfred13 @silaw_sang @dickeyulemsafii @kadottee @gushshivitzi @henry_mbute @enlihobino kawaidah,vi…",0
rt @twilfred13: @juniorkiddoke @kadottee @radiomaisha @enlihobino @silaw_sang @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @…,0
issa #maishaconcertfriday tumehangout na @aziz. @alex_mwakideu na @iamnickodhiambo ,0
"rt @benwuodnyaloka: #maishaconcertfriday ...@alex_mwakideu @iamnickodhiambo @dj2one2 ...uyo jamaa yuko juu2 sana ""vale nikali bro imeweza""",0
"rt @henry_mbute: lazima. inanyonywa hii..

#maishaconcertfriday ",0
rt @isnyaata: @gushshivitzi @kibitishadex @dickeyulemsafii @silaw_sang @kadottee @henry_mbute @enlihobino @alex_mwakideu @radiomaisha @iamn…,0
"rt @joannicole6: @radiomaisha  hizo instruments ni moto wa kuotea mbali. 
#maishaconcertfriday 
@alex_mwakideu",0
rt @alex_mwakideu: @iddaziz anatesa kabisa.. #maishaconcertfriday ,0
rt @gushshivitzi: @kadottee @radiomaisha @enlihobino @silaw_sang @twilfred13 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @d…,0
"rt @ambrosemutai: #maishaconcertfriday
@dj2one2 @iamnickodhiambo @radiomaisha @alex_mwakideu  song iko moto kweli mapenzi ya baba na mama n…",0
rt @gushshivitzi: @kadottee @enlihobino @silaw_sang @twilfred13 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96…,0
rt @silaw_sang: @johnobura7 @enlihobino @kadottee @twilfred13 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @…,0
rt @omarealexix: @radiomaisha  @gushshivitzi @alex_mwakideu @iamnickodhiambo @dj2one2 #maishaconcertfriday guitar inanyonya bts,0
"rt @henry_mbute: @luckdickie @iddaziz @alex_mwakideu @iamnickodhiambo @radiomaisha @dj2one2 kabooom 

#maishaconcertfriday",0
rt @kadottee: @enlihobino @silaw_sang @twilfred13 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @daughter_wil…,0
rt @allananyika: vale tamu sana sana @alex_mwakideu #maishaconcertfriday,0
rt @haronkipchumba3: that guy us real💪💪💪 love his music @radiomaisha @iamnickodhiambo @alex_mwakideu #maishaconcertfriday,0
rt @kadottee: @enlihobino @silaw_sang @twilfred13 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @daughter_wil…,0
"rt @johnobura7: @radiomaisha @iamnickodhiambo @alex_mwakideu #maishaconcertfriday #vale
valentine mi sikujui,ni we ulinifunza kulove. upend…",0
rt @enlihobino: @kadottee @silaw_sang @twilfred13 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @daughter_wil…,0
#np vale - @iddaziz..  brand new on #maishaconcertfriday,0
rt @jackmarubu: iddi aziz ni mti na mizizi yake. mpe tano yangu. @iamnickodhiambo  @alex_mwakideu #maishaconcertfriday,0
"rt @kipkibet2: #maishaconcertfriday
@alex_mwakideu @iamnickodhiambo 
@dj2one2 @radiomaisha  #maishaconcertfriday 
#maishaconcertfriday 
#ma…",0
rt @ngetichfelix: #maishaconcertfriday @radiomaisha @alex_mwakideu @iamnickodhiambo #vale,0
rt @isnyaata: @silaw_sang @twilfred13 @dickeyulemsafii @kadottee @gushshivitzi @henry_mbute @enlihobino #maishaconcertfriday,0
"rt @sndaire: @alex_mwakideu
@alex_mwakideu
@alex_mwakideu

nimekuita mara tatu.. wapi 'if you break my heart, i go date your father'??
@rad…",0
rt @gushshivitzi: @enlihobino @silaw_sang @twilfred13 @hillary_yabatsa @kadottee @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96…,0
rt @kadottee: @enlihobino @silaw_sang @twilfred13 @hillary_yabatsa @henry_mbute @barrackferguson @jnrlepariyo @damarislelei96 @daughter_wil…,0
rt @twilfred13: @juniorkiddoke @kadottee @henry_mbute @enlihobino @barrackferguson @jnrlepariyo @silaw_sang @damarislelei96 @daughter_wilso…,0
rt @twilfred13: @jaymwakio @alex_mwakideu @iamnickodhiambo @tyxxonmichael @radiomaisha #maishaconcertfriday,0
"rt @johnobura7: @radiomaisha @alex_mwakideu #maishaconcertfriday
bungoma airstrip tuko ndani kuruka. wataka utamu,takupa shamba zima la miw…",0
