id,created_at,text
966658128195604480,2018-02-22 12:57:12,RT @OfficialJMbugua: @SABIS_Runda is targeting a Green Star rating in Kenya under Public & Education Building rating. Means the school’s bu…
966652925228535809,2018-02-22 12:36:31,RT @CapitalFMSport: Mourinho’s cautious Man Utd tactics win few admirers https://t.co/VFTTQ7mISt
966652621363843072,2018-02-22 12:35:19,"It's not too late to learn more about @SABIS_Runda. If you are near @TwoRivers_KE, pass by before 5:30 p.m… https://t.co/THWvlLnuev"
966650621125386245,2018-02-22 12:27:22,Sabis International: Educating for 2040 and beyond - Part 2 https://t.co/2NqQCtiEtN
966650619795791878,2018-02-22 12:27:21,Sabis International: Educating for 2040 and beyond - Part 1 https://t.co/3ofxb8slKd
966650339163299843,2018-02-22 12:26:15,Where did Sh70mn victims’ cash go? Kijiji residents ask https://t.co/20jamn6Aa5
966645769527848962,2018-02-22 12:08:05,"Learn more about @SABIS_Runda, over 130 years of experience in providing world class education all around the world… https://t.co/0BiDqQaSrx"
966644380810600449,2018-02-22 12:02:34,Kenya Red Cross seeks Sh1bn for 2018 drought response https://t.co/qbmwon9cih
966636002067599360,2018-02-22 11:29:16,"RT @moscakenya: MAQBUL MOHAMMED, MOSCA'S CREATIVE OF THE DAY:
Maqbul Mohammed is a Kenyan Actor, Radio Presenter @CapitalFMKenya &  MC.  @M…"
966635311311749120,2018-02-22 11:26:32,"RT @ArcherMishale: Q) Bill Clinton's Vice President was a big fan of music. So, what does he call his playlist?

A) Algorithms. https://t.c…"
966634159581081600,2018-02-22 11:21:57,"Open letter to the UN Resident Coordinator and UNDP Resident Coordinator for Kenya, Siddharth Chatterjee https://t.co/recVxQyOA7"
966632735308697600,2018-02-22 11:16:17,"RT @OfficialJMbugua: Hey, guys. I will be @TwoRivers_KE today for the @SABIS_Runda Launch event to host a meet up between our representativ…"
966632058717163520,2018-02-22 11:13:36,Neglected Kitui school where students learn under trees https://t.co/WWCaENDDkk
966631527374315520,2018-02-22 11:11:29,RT @CapitalFMSport: Teams battle for Playoffs slot as Kenya Cup enters penultimate round https://t.co/6FkxGJ8sc2
966627377202671621,2018-02-22 10:55:00,.@uonbi  to host Nairobi Innovation Week 2018 https://t.co/GZ41al2uFl via @capitalcampus https://t.co/DKeMPG1Rji
966625322014789632,2018-02-22 10:46:50,"#NewsShot: 3 things making headlines today
1. EAC meet 
2. #LSKElections 
3. @HassanAliJoho’s fate https://t.co/nVyRBBP6LA"
966625197653745664,2018-02-22 10:46:20,RT @CapitalFMSport: Wenger hopes Wilshere signs soon https://t.co/M81YK7fOCv
966623940570427392,2018-02-22 10:41:21,RT @CFMLifestyle: Victoria Beckham pokes fun at herself with new T-shirt line https://t.co/quGbQ96WOi
966620158801391617,2018-02-22 10:26:19,Makueni parents spend nights in cold seeking birth certificates https://t.co/tFL68f1BUG
966616443063324672,2018-02-22 10:11:33,RT @CapitalFMSport: Man United’s Herrera suffers new blow https://t.co/FbL1wveY0N
966613192284745728,2018-02-22 09:58:38,RT @BreakingNewsKE: NATIONAL Treasury announces successful pricing of new $2billion Eurobond transaction issue was oversubscribed 7 times.…
966612438845149185,2018-02-22 09:55:38,RT @BreakingNewsKE: MURANG'A County launches hunt for monkeys after invasion leading to massive crop destruction accuses @kwskenya of negl…
966611292483211265,2018-02-22 09:51:05,Kenya receives bids worth $14Bn for the new $2Bn Eurobond issue https://t.co/RLESh85ax5
966609948124893184,2018-02-22 09:45:45,.@SABIS_Runda is offering a globally recognized curriculum that prepares its students for UK and US examinations.… https://t.co/qsCdhdVDzW
966609402844319744,2018-02-22 09:43:35,"RT @CapitalFMKenya: Average Kenyan woman spends Sh50,000 annually on hair – Report https://t.co/Ub8zjaIKst"
966607652255084545,2018-02-22 09:36:37,"Kitutu Masaba poll win upheld, petitioner to pay Sh5mn costs https://t.co/IJahkkExPE"
966607651101663232,2018-02-22 09:36:37,"RT @CapitalFMSport: ‘Red Bull, Ferrari may make a play for Hamilton’ https://t.co/TW5t2wQFxm"
966606756431499264,2018-02-22 09:33:04,"Kitutu Masaba poll win upheld, petitioner to pay Sh5mn costs https://t.co/Q59FqEduQE"
966606639812968450,2018-02-22 09:32:36,RT @kaggzie: Mashemeji rasta tuko tu hapa tumenyamaza 😅 https://t.co/IfRQfGvhkZ
966606614206742528,2018-02-22 09:32:30,RT @qkatastrofeet: I am below average yet again! https://t.co/0r3Firkdkg
966606561484464128,2018-02-22 09:32:17,RT @BreakingNewsKE: KENYA Red Cross seeks to raise Sh1bn in support of 3.4 million Kenyans who are at risk of starvation following drought.…
966605961485078528,2018-02-22 09:29:54,RT @AnitaNderu: I love meetings that end with treats! Thank you @ColdStoneKenya for the oreo ice cream cake! Absolutely loved it! I must be…
966605010099458048,2018-02-22 09:26:07,"Jordan 3D lab prints limbs for war wounded, disabled kids https://t.co/aVlNIeh6xH"
966603811920994304,2018-02-22 09:21:22,Allen Gichuhi confident of winning LSK poll https://t.co/xALBvc561u
966601367094775808,2018-02-22 09:11:39,"Sonko offers incentives, tax breaks to international investors https://t.co/RsprGzuI2h"
966600020232417282,2018-02-22 09:06:18,RT @capitalcampus: LISTEN: The most erotic music releases during the month of love https://t.co/Ub8QkrdRXw
966599097791770624,2018-02-22 09:02:38,RT @CFMLifestyle: Kenyan play by Cajetan Boy “Dead Talk” kicks-off Kenyan a Month https://t.co/Z3v0qln8Nw
966593080513236992,2018-02-22 08:38:43,"We've got lots of hampers up for grabs celebrating Kenya's most reliable and convenient way to fly to Lamu, Mombasa… https://t.co/a3PtwEpKnS"
966592756142497792,2018-02-22 08:37:26,"Hi, congratulations you have won a Skyward Express hamper, please DM with your full name and number for prize colle… https://t.co/tJ4d6k5Zvq"
966592531298443264,2018-02-22 08:36:32,RT @CFMLifestyle: #Travel: Delhi’s ‘lost’ Mughal garden reopens as public park https://t.co/AGABHCXUjq
966592529016778753,2018-02-22 08:36:31,RT @CapitalFMSport: Mavs owner Cuban fined Sh 60mn for ‘tanking’ comment https://t.co/0i5WYraLq2
966592484569645056,2018-02-22 08:36:21,"Hi, you have won a Skyward Express hamper, please DM with your full name and contact information for collection https://t.co/uCPnHBNng9"
966590465616306177,2018-02-22 08:28:20,"Tune into @TheFuse984 and learn all about @SkywardExpress, an established airline operating from Wilson Airport, ha… https://t.co/4BBKN7Dr19"
966589930163134465,2018-02-22 08:26:12,RT @amusawale: Confirmed. I am definitely not the average Kenyan woman. https://t.co/36UUWA0xbD
966589891994902528,2018-02-22 08:26:03,RT @blakHipy: can this be the reason Kenya's public debt is ever increasing?? https://t.co/fzlk6NBszM
966589871048536064,2018-02-22 08:25:58,RT @NizzyKE: Done the math for mine 😭😭😭😭😭 https://t.co/t7zRf6ev4j
966588399724433408,2018-02-22 08:20:07,RT @BreakingNewsKE: KISII court dismisses petition challenging win by Bomachoge Chache MP Alpha Miruka petitioner slapped with Sh5mn costs…
966588091585761280,2018-02-22 08:18:54,"RT @TheFuse984: Who wants some #ThirstDay quenching rock courtesy of @WanjiraL, @mianomuchiri and Dr. Dj @CKirubi?
#Fuse984 https://t.co/iC…"
966588077916508160,2018-02-22 08:18:50,"RT @KuiKabala: Oh, the spectacular  talent on stage at the next @korogafestival 💃💃 The queens will be out in all their glory, headlined by…"
966588056240295936,2018-02-22 08:18:45,RT @CKirubi: .@Centum_Inv first international school is now accepting applications ahead for its opening in September 2018. A world-class s…
966587469796986880,2018-02-22 08:16:25,Court upholds win by Bomachoge Chache MP Miruka https://t.co/t0x9ZeZTJ2
966585814917550080,2018-02-22 08:09:51,RT @BreakingNewsKE: KENYA records improvement from 145 to 143 in the latest Transparency International corruption index report for 2017. ht…
966584087711543302,2018-02-22 08:02:59,RT @CFMLifestyle: What Being The Head of The Home Means https://t.co/FmrCdxfPXp
966582475626565632,2018-02-22 07:56:35,RT @CFMLifestyle: 5 Men you should keep around https://t.co/4kQOFKvjTf
966581154345254912,2018-02-22 07:51:20,"Average Kenyan woman spends Sh50,000 annually on hair – Report https://t.co/Ub8zjaIKst"
966578650656145408,2018-02-22 07:41:23,Kenya improves in global corruption ranking – TI https://t.co/A4a0jIRZc2
966577840731942912,2018-02-22 07:38:10,3 Things That Will Make The News Today 22nd Feb 2018 https://t.co/9WpWXWxYKS
966577399734382593,2018-02-22 07:36:24,LSK polls get underway across the country https://t.co/TfskW72ZMV
966576329591283712,2018-02-22 07:32:09,"No longer will it be a case of he-said-she-said, in which the survivor is less often believed than the accused.… https://t.co/kJMYQ9WMH3"
966573566698369024,2018-02-22 07:21:11,RT @CFMLifestyle: Twitter sets crackdown on automated ‘bot’ accounts https://t.co/saRs9LyS1K
966569843381161985,2018-02-22 07:06:23,RT @capitalcampus: MUST READ: Unpacking top lines used by Kenya’s slay kings https://t.co/iidgOUCTEM
966565846863753216,2018-02-22 06:50:30,RT @KorogaFestival: The 21st #KorogaFestival #QueensRock edition presents: @yemialadee | @Chemutai_sage | @MercyMasika on Sunday 18th March…
966563531935109120,2018-02-22 06:41:18,Japanese Auto export company Be Forward relaunches in Kenya https://t.co/C1NVOCX7WB
966559777915572224,2018-02-22 06:26:23,President Kenyatta travels to Uganda for EAC Summit https://t.co/ZzJhSFhmQo
966553137749340160,2018-02-22 06:00:00,The realizations of mixed student housing https://t.co/AgLofMdB5G via @capitalcampus https://t.co/C83OElVqEk
966549929584988165,2018-02-22 05:47:15,RT @984inthemorning: This morning on #TechThursdays we're talking about the impact of the internet and social media in Kenya. Join @iamdigi…
966549362498330624,2018-02-22 05:45:00,Capital Digital Media is hiring! https://t.co/9JYLOaoGQc Application deadline MIDNIGHT 22nd February 2018. https://t.co/2YuAtCCtUg
966543318602735616,2018-02-22 05:20:59,RT @BreakingNewsKE: PRESIDENT @realDonaldTrump suggests arming teachers to deter mass US shootings after gun rampage left 17 dead at a Flor…
966542152904962048,2018-02-22 05:16:21,More than 100 girls ‘missing’ after Boko Haram school attack https://t.co/4YHVs8rFju
966540924447846400,2018-02-22 05:11:28,Somalia’s first forensic lab targets rape impunity https://t.co/zVonYObsrN
966539681910358016,2018-02-22 05:06:32,RT @capitalcampus: Frank Ocean back in court with a suit against ‘Blonde’ producer https://t.co/Bo84bhAego
966539296747474944,2018-02-22 05:05:00,.@SABIS_Runda is offering a globally recognized curriculum that prepares its students for UK and US examinations.… https://t.co/PLxJEN33o3
966538724984094721,2018-02-22 05:02:44,Trump suggests arming teachers at emotional meeting with shooting survivors https://t.co/LT3im142HO
966537102572867584,2018-02-22 04:56:17,RT @capitalcampus: Harvey Weinstein: Paltrow’s sexual harassment allegations are false https://t.co/7zKcV8tjjS
966533348976885761,2018-02-22 04:41:22,RT @capitalcampus: MUST WATCH: #LitList presents the best of Calif Records https://t.co/6S9yKU7yYV
966432997783326720,2018-02-21 22:02:36,"RT @CapitalFMSport: Golden De Gea shines as United, Sevilla draw https://t.co/z5A4WMDq9o"
966431390777659393,2018-02-21 21:56:13,RT @CapitalFMSport: Fred gives Shakhtar advantage over Roma https://t.co/8NFkWWBcvM
966430247511044096,2018-02-21 21:51:41,RT @CapitalFMSport: Wenger not giving up on top-four https://t.co/pmkErdEx8u
966413651568746496,2018-02-21 20:45:44,RT @Afterhours984: Next: Get Your Late Night Oral Expressions In To Me https://t.co/sC94piFEuM
966413590243799042,2018-02-21 20:45:29,RT @Afterhours984: NP Lovers Rock --- @SadeOfficial https://t.co/65zqELakX7
966413508060512256,2018-02-21 20:45:10,RT @Afterhours984: #WedQuote: https://t.co/CUhCW6SLWP
966413454276952064,2018-02-21 20:44:57,RT @Afterhours984: Happy Wednesday friends get your late night oral expressions in to me and let's catch up at 10p https://t.co/6UqVuBJ9gc
966405918236672000,2018-02-21 20:15:00,#AskKirubi : Please don’t xaxa me https://t.co/G8gjMoILEE via @capitalcampus https://t.co/PEuk3dXnqC
966395951232503808,2018-02-21 19:35:24,RT @SABIS_Runda: One more day until the launch event of @SABIS_Runda. We look forward to seeing you there! https://t.co/vbNi5jLxqF
966395398691504128,2018-02-21 19:33:12,"See you @TwoRivers_KE for the @SABIS_Runda launch event, Feb 22 from 1.30pm. 

It's an opportunity to meet SABIS® r… https://t.co/jS9O5I5Q5S"
966389966501830659,2018-02-21 19:11:37,RT @CapitalFMSport: Gor to face Espérance in Champions League first round https://t.co/bWmrrz2BJU
966375673098067968,2018-02-21 18:14:49,"@ItsSimonLedama Hi Simon, we currently don't have any internship opportunities."
966374874775252994,2018-02-21 18:11:39,#NewMusic: @iamdbanj’s Street Anthem Issa Banga https://t.co/taZvGxNx1O https://t.co/UGnaeqaUvs
966374871201714177,2018-02-21 18:11:38,#NewMusic: D’banj’s Street Anthem Issa Banga https://t.co/Rg9hV2fTrI
966374850200854528,2018-02-21 18:11:33,RT @HitsNotHomework: .@petramuzik shares her biggest motivation and advice for girls looking to get into the music industry. #hiphopgarage…
966371991413510165,2018-02-21 18:00:11,RT @petramuzik: Live now on @CapitalFMKenya @AnitaNderu @ItsAnneMwaura @TracyWanjiru_  thanks for tuning in😙😙😊 https://t.co/hFZ0UEJ4rH
966368171723812864,2018-02-21 17:45:01,.@uonbi  to host 100 startups at Nairobi Innovation Week 2018 https://t.co/GZ41alk63V via @capitalcampus https://t.co/8xJZGNPUxx
966359654530985988,2018-02-21 17:11:10,"RT @HitsNotHomework: We got a Rider in studio, @petramuzik🔥 #hiphopgarage #HNH984 https://t.co/XthHx8BTr7"
966353069985341440,2018-02-21 16:45:00,.@2chainz goes back to basics with new album  https://t.co/19I4kzrxsV https://t.co/gbaZ8lXnNu
966346659201519616,2018-02-21 16:19:32,"RT @HitsNotHomework: We've got @petramuzik joining #Thevibe and #hiphopgarage today. 

Let us know what you've always wanted to know? 
@Tra…"
966337970474225665,2018-02-21 15:45:00,Realities of mixed student housing https://t.co/AgLofMdB5G https://t.co/MIvs52d6s2
966335897028448256,2018-02-21 15:36:46,Centum&#039s globally-acclaimed Sabis School opens applications for Runda Campus https://t.co/zpZJqbgvvS
966328260429860865,2018-02-21 15:06:25,Centum’s globally-acclaimed Sabis School opens applications for Runda Campus https://t.co/aWD30JUONR
966325387142680576,2018-02-21 14:55:00,Check out this link to see what it takes to join Capital Digital Media https://t.co/9JYLOa75rC Application deadline… https://t.co/esNvXWNvuZ
966320381589118976,2018-02-21 14:35:06,"RT @KorogaFestival: It's our pleasure to introduce one of the biggest Gospel queens in Kenya, @MercyMasika to the 21st edition of the Korog…"
966318504994590720,2018-02-21 14:27:39,"RT @BreakingNewsKE: EVANGELIST Billy Graham, who was a spiritual advisor to several US presidents and millions of Americans, dies aged 99.…"
966318294490927105,2018-02-21 14:26:49,RT @BreakingNewsKE: IMMIGRATION Dept surrenders Miguna’s passport to court as ordered but it is perforated as per deportation procedure. ht…
966316887897460741,2018-02-21 14:21:14,"Billy Graham: US preacher to millions, adviser to presidents dies at 99 https://t.co/vF9iRHNL4X"
966316089373274112,2018-02-21 14:18:03,"Miguna return is a process that can be done, Kihalangwa tells Parliamentary vetting… https://t.co/c0Vu1cmwns"
966316087913734144,2018-02-21 14:18:03,Hon senator Orengo travelled after we received a court order to release his passport… https://t.co/7SJrJUEPuY
966316086634434560,2018-02-21 14:18:02,"The 3rd Kenyan ID generation will have DL, NHF and KRA Pin in it https://t.co/NGmM47nsV0"
966315739694227456,2018-02-21 14:16:40,Kisumu County passes motion compelling retailers to give free packing bags https://t.co/J9WAd42e6Z
966314481075834880,2018-02-21 14:11:40,RT @CapitalFMSport: AC Milan owner Li dismisses bankrupt reports as ‘fake news’ https://t.co/QrgyVDf7mU
966313267810455553,2018-02-21 14:06:50,Kihalangwa stands by decision to suspend NASA passports https://t.co/79MCZnMnQu
966307045212393475,2018-02-21 13:42:07,RT @wildlifedirect: .@CapitalFMKenya ~ Kenya wildlife service- @kwskenya to translocate 21  elephants from Laikipia to Tsavo in 2 weeks htt…
966304724860448768,2018-02-21 13:32:54,RT @CapitalFMSport: AFC Leopards exit Confed Cup despite Fosa draw https://t.co/ew4xp12feP
966303113920512000,2018-02-21 13:26:30,Kihalangwa surrenders Miguna’s perforated passport to court https://t.co/EwaKbqVvA7
966300221423550469,2018-02-21 13:15:00,#CareerClimb :How to ask for feedback from your new boss https://t.co/Ilq9L0Hdpb via @capitalcampus https://t.co/V8gHXszL8u
966295582280224769,2018-02-21 12:56:34,Neglected Kitui school where students learn under trees https://t.co/C59R7TSKEF
966294267680485376,2018-02-21 12:51:20,RT @CapitalFMSport: Kenyan fans in Las Vegas will steer us to victory – Simiyu https://t.co/joYkP3lwAz
966293073276874752,2018-02-21 12:46:36,Singaporean in church fraud case tries to flee on boat https://t.co/UA7YU6hpFs
966292671688929280,2018-02-21 12:45:00,How a Kenyan entrepreneur hopes to revolutionize the deejay industry https://t.co/j22d7yTVlo via @capitalcampus https://t.co/Ax8pQoGDmQ
966291827946082304,2018-02-21 12:41:39,Iran teams carry plane crash dead down from mountain https://t.co/Hrg6Z25Byf
966290523282726912,2018-02-21 12:36:28,Netanyahu confidant agrees to testify against him: reports https://t.co/K17hnscz9M
966289547393986560,2018-02-21 12:32:35,Scores of girls ‘missing’ after new Boko Haram school attack https://t.co/kbqANwAjvK
966282149707112451,2018-02-21 12:03:11,RT @CapitalFMSport: I was in a comfort zone at Arsenal -Coquelin https://t.co/YS7cTkik3Q
966280656207654912,2018-02-21 11:57:15,RT @CapitalFMSport: Ranieri says ready to quit Nantes to become Italy coach https://t.co/1aZOEHmidU
966280653842022401,2018-02-21 11:57:15,"RT @CapitalFMSport: Staying calm is key for United, says Mourinho https://t.co/EXYCFUNBu8"
966278550121799680,2018-02-21 11:48:53,How to practice gratitude | Our2Cents https://t.co/3x9negLzbA
966277856786632706,2018-02-21 11:46:08,KWS to translocate 21 elephants from Laikipia to Tsavo in 2 weeks https://t.co/LE83d4ONy2
966272111244382208,2018-02-21 11:23:18,"@IbraNjeru @CKirubi Hi Ibrahim, contact us via digital@capitalfm.co.ke"
966271643755610113,2018-02-21 11:21:26,Kambi loses bid nullify Kingi’s re-election as Kilifi governor https://t.co/msXQHHVGh7
966269723854991360,2018-02-21 11:13:49,RT @KorogaFestival: We're proud to present @Chemutai_sage as the second Queen performing at the 21st edition of the Koroga Festival on Sund…
966269304651091968,2018-02-21 11:12:09,RT @DjJoeMfalme: Your Wednesday afternoon dose of entertainment is the #RadioActiveMixx tune in now to @capitalfmkenya https://t.co/NcayHLw…
966262964696371200,2018-02-21 10:46:57,RT @BreakingNewsKE: WOMAN accused of abducting 2-week-old baby from KNH remanded for 5 days initial probe points to syndicate involvement.…
966261612507254785,2018-02-21 10:41:35,Samsung set to launch new flagship smartphones https://t.co/zCPXwvki9l
966260298285019136,2018-02-21 10:36:22,KNH kidnapper remanded for 5 days as police chase syndicate lead https://t.co/RJeg9ocaWG
966256495703752704,2018-02-21 10:21:15,"RT @CapitalFMSport: Barca performance was my best, says Willian https://t.co/GoSmwGckt9"
966254925058420736,2018-02-21 10:15:00,Kendrick Lamar’s Black Panther soundtrack tops Billboard chart https://t.co/IxITfiJaaR via @capitalcampus https://t.co/rGKtx3nMwl
966252757962326017,2018-02-21 10:06:24,Kamba elders beseech their son Kalonzo to abandon Raila in favour of Uhuru https://t.co/oCGIWigPKm
966251958792224768,2018-02-21 10:03:13,RT @CFMLifestyle: #Travel: Taiwan looks south for Muslim tourist dollars https://t.co/vj3Rs8aOkS
966247733274271744,2018-02-21 09:46:26,CMA cautions public on pre-sale offers of digital coins https://t.co/Rf21alySLN
966244293722759168,2018-02-21 09:32:46,RT @CFMLifestyle: No-sweat exercise may prolong life for the elderly: study https://t.co/k7XUMsWmIa
966244291134803969,2018-02-21 09:32:45,"RT @CFMLifestyle: Saoirse Ronan, Oscar veteran at 23, laughs off her chances https://t.co/dYbnmFSWok"
966243977065369601,2018-02-21 09:31:30,"Hi you have won a Skyward Express hamper, DM us with your full name and contact for prize collection https://t.co/Eb6eaBnQ3u"
966243849780809728,2018-02-21 09:31:00,"Hi you have won a Skyward Express hamper, DM us with your full name and contact for prize collection https://t.co/8lUowwapIs"
966242673945403393,2018-02-21 09:26:20,KRA bans stripping of containers destined for Zanzibar https://t.co/qXa7AeF8QH
966242672737443840,2018-02-21 09:26:19,RT @CapitalFMSport: Conte defends Christensen after Barca slip-up https://t.co/IASgSCPt8W
966242339877466114,2018-02-21 09:25:00,Beyonce rejects $10M deal for Blue Ivy trademark https://t.co/gzmLrXtzEv https://t.co/EsZIyUixvw
966241472222769153,2018-02-21 09:21:33,@SkywardExpress gives you the promise of ease and reliability of flying to their destinations from the ease of Wils… https://t.co/vrx1HYyK1D
966241459811901440,2018-02-21 09:21:30,US conservatives gather as Trump faces pressure on multiple fronts https://t.co/3qaaT0Qi2X
966240188312772609,2018-02-21 09:16:27,Extreme conditions await MH370 recovery if wreckage found https://t.co/kQ4MiZ2BfM
966238939676856320,2018-02-21 09:11:29,Duterte slammed for barring Philippine news site from his events https://t.co/uv1qLgxd5A
966237722514993152,2018-02-21 09:06:39,Swedish racist ‘laser man’ faces Germany murder verdict https://t.co/eejLQdkiic
966237721256656897,2018-02-21 09:06:39,RT @CapitalFMSport: Williams says terrifying health scare almost killed her https://t.co/IKocs7yVSE
966237086134259712,2018-02-21 09:04:07,RT @BreakingNewsKE: ENVIRONMENT committee of the National Assembly calls for an immediate ban on logging for fear of rapid desertification.…
966236774103244800,2018-02-21 09:02:53,Trump junior says presidency is costing the family firm https://t.co/5hO2d2Ajf2
966235124655411200,2018-02-21 08:56:20,"Fuelling, repair logistics hamper effective garbage collection in the city https://t.co/n4gEflOAcs"
966232273656991744,2018-02-21 08:45:00,#TheSeven basics any college student should never overlook https://t.co/uO7gn3zJJD https://t.co/uYW9UFwwR7
966230102735507461,2018-02-21 08:36:22,Six killed in attack on https://t.co/RFCfU5TYIJ police station https://t.co/37kN0cKsOS
966229317763174400,2018-02-21 08:33:15,Trump junior says presidency is costing the family firm https://t.co/nFeRan8nEa
966227662409818112,2018-02-21 08:26:41,RT @BreakingNewsKE: TANZANIAN nabbed at JKIA for smuggling Sh100mn in gold into the country transit of unwrought precious metal restricted…
966226330021965824,2018-02-21 08:21:23,MPs want immediate ban on logging for fear of desertification https://t.co/7bgCNcIrH2
966226158818856960,2018-02-21 08:20:42,RT @OBurrows: Get up to speed on the day's big stories in quite literally a minute 😉 https://t.co/Br0raiILeW
966225191167721472,2018-02-21 08:16:51,"Boinnet, Kinoti pursue stay orders over “unfair” contempt ruling https://t.co/IKuNAXEA7a"
966225190026907648,2018-02-21 08:16:51,RT @CFMLifestyle: Can a marriage with your affair partner last? https://t.co/fDLAqNkjge
966223608707276800,2018-02-21 08:10:34,"#NewsShot: 3 stories making headlines today
1. Parliament starts approval hearings for PSs, envoys
2. Ministry ext… https://t.co/BHg81gb6IX"
966222353255591941,2018-02-21 08:05:35,RT @TheFuse984: .@MianoMuchiri and Dr. Dj @CKirubi has got you covered for the #HumpDay edition of the #Fuse984. https://t.co/wKcva5gp9c
966221858059313152,2018-02-21 08:03:37,3 Things That Will Make The News Today 21st Feb 2018 https://t.co/0VvecJGHnu
966220152042909696,2018-02-21 07:56:50,"RT @CFMLifestyle: In dieting, low-fat or low-carb are the same: study https://t.co/4jHDPleuao"
966218883865698304,2018-02-21 07:51:48,"Have a merry Afro-Colombian Christmas, in February https://t.co/4ucMiBmQfX"
966214107195215874,2018-02-21 07:32:49,RT @CFMLifestyle: How to introduce your partner to the people in your life https://t.co/kaKLHHansP
966212526500401157,2018-02-21 07:26:32,KRA intercepts gold worth Sh100Mn at JKIA https://t.co/nIxuYlJbgu
966209624528465920,2018-02-21 07:15:00,.@solangeknowles  to receive Harvard Foundation Award https://t.co/UxVkNMOuxC via @capitalcampus https://t.co/71Svt5ASFb
966206501911191553,2018-02-21 07:02:35,RT @CFMLifestyle: Overweight drinkers live longer than healthier people https://t.co/LIbjFzUlw3
966202432924549120,2018-02-21 06:46:25,National Assembly to debate list of PSC nominees Wednesday https://t.co/xl161ZBgnn
