id,created_at,text
966658839826190336,2018-02-22 13:00:01,"Father commits suicide after attempt to kill two children
https://t.co/ThFQ9T6kew https://t.co/Zjczz2zhx3"
966657567438057473,2018-02-22 12:54:58,"BREAKING NEWS: Court nullifies Governor Martin Wambora’s election win
https://t.co/KFHfI9xGkZ https://t.co/UjuV8o4Ft0"
966654560101109761,2018-02-22 12:43:01,"RT @KTNNews: BREAKING NEWS: The High Court has nullified Embu Governor Martin Wambora's election following Lenny Kivuti's petition.
More de…"
966651852011003905,2018-02-22 12:32:15,RT @KTNNews: Listed retailer Uchumi Supermarket has posted an 895.1 million shilling net loss in its half year financial results for the pe…
966651285758992385,2018-02-22 12:30:00,"IG Joseph Boinnet sued over police transfer
https://t.co/vm4VlSOp8g https://t.co/pjNpswUhi6"
966650440552189952,2018-02-22 12:26:39,"Mwalimu Rachel: Campus isn't built for serious relationships
https://t.co/tgRBubh5XP via @UreportKe"
966649931044933633,2018-02-22 12:24:37,RT @KTNNews: KTB is slated to participate in the Pearl of Africa Travel Expo which has been organized by the Ugandan Tourism Board. The exp…
966649430303756289,2018-02-22 12:22:38,RT @KTNNews: The Kenya Tourism Board (KTB) has stepped up its engagement with the Ugandan travel market in a strategy that seeks to make Ke…
966647509845204994,2018-02-22 12:15:00,"Lobby asks court to disband Uhuru's cabinet 
https://t.co/ieU1KEO8X2 https://t.co/VqPWZ2EVge"
966647117312937984,2018-02-22 12:13:26,RT @KTNNews: NHIF has been ordered to recover the money from the companies after it emerged that there were massive irregularities in the a…
966646925029203968,2018-02-22 12:12:41,RT @KTNNews: The Public Procurement Regulatory Authority has opened investigations into a contract awarding saga at the NHIF that could see…
966645841346945024,2018-02-22 12:08:22,"RT @KTNNews: Let's have a look at the NSE performance:
1. Most active stock
2. Winning stock
3. Losing stock
@ashleymazuri
#KTNBusiness htt…"
966645292908142592,2018-02-22 12:06:11,"Why woman want men out of delivery rooms
https://t.co/fONxTVOpWa https://t.co/rk7eVG7f5s"
966644804288434177,2018-02-22 12:04:15,"RT @KTNNews: Here's how the Kenya Shilling is faring against the major world currencies
@ashleymazuri 
#KTNBusiness https://t.co/X1nzbcB3Xm"
966644403048734720,2018-02-22 12:02:39,RT @KTNNews: Welcome to #KTNBusiness on @KTNNews with @ashleymazuri where we give you briefing on the latest news and trends in the world o…
